,Date,AdjClose,Open,High,Low,Close,Volume,avg7,avg10,avg50,avg100,avg200,avg253,SPD_OPEN/CLOSE,SPD_HIGH/LOW,Adj_Close_Returns,Close_Returns,Log_Returns,pos_string,count_pos_string,macd,signal,hist,MACD_1DAY_strategy,MACD_9DAY_strategy,MACD_CONVERGENCE_strategy,RSI,RSI_strategy,OBV,OBV_EMA,OBV_strategy,TSF,TSF_strategy,WILLR,WILLR_strategy,STOCH_K,STOCH_D,STOCH_K_strategy,STOCH_D_strategy,EMA,TEMA,upperband,middleband,lowerband,MOM,stok,stod,CCI,direction
55,2000-03-21 00:00:00,4711.680176,4589.52002,4712.240234,4467.529785,4711.680176,1753310000,4719.098633,4802.643018,4423.993408,0.0,0.0,0.0,122.160156,244.710449,2.205643726,2.205643731,0.021816713,1,1,84.85597066,129.3788403,-44.52286963,0,0,0,52.14956212,0,20211210000.0,11448612077.0,1,4677.331538,0,-100.1332584,1,-1.050744746,4.880471842,1,1,4697.131977,103567000000.0,5080.38193,4745.125721,4409.869511,4710.680176,41.62546753,28.13560084,-49.83807714,1
56,2000-03-22 00:00:00,4864.75,4750.540039,4900.419922,4736.899902,4864.75,1769510000,4713.028599,4799.392041,4440.29501,0.0,0.0,0.0,114.209961,163.52002,3.248731206,3.248731202,0.031970757,1,2,88.26907035,121.1568863,-32.88781596,0,0,0,57.24554455,0,21980720000.0,11660364851.0,1,4679.643587,0,-63.71232425,0,3.391066442,2.436448716,1,1,4780.940988,109211000000.0,5064.604376,4768.108096,4471.611816,4863.75,54.4330101,34.71604141,33.44173644,1
57,2000-03-23 00:00:00,4940.609863,4874.169922,4975.660156,4865.100098,4940.609863,1714160000,4746.454311,4788.767041,4460.683408,0.0,0.0,0.0,66.439941,110.560058,1.559378453,1.559378447,0.015473451,1,3,95.98873504,116.1232561,-20.13452102,0,0,0,59.5449818,0,23694880000.0,11898717840.0,1,4728.176736,0,-45.66247614,0,30.16398041,10.83476737,0,1,4860.775426,114775000000.0,5075.072252,4786.692848,4498.313444,4939.609863,53.27912524,49.77920096,66.56668657,1
58,2000-03-24 00:00:00,4963.029785,4986.540039,5078.859863,4902.830078,4963.029785,1688970000,4800.798549,4780.208008,4482.943604,0.0,0.0,0.0,-23.510254,176.029785,0.45378855,0.453788553,0.00452762,1,4,102.7315005,113.4449049,-10.71340448,0,0,0,60.22582651,0,25383850000.0,12161898296.0,1,4780.516693,0,-40.3279531,0,50.09908217,27.88470968,0,0,4911.902606,118436000000.0,5090.473038,4803.139509,4515.80598,4962.029785,35.97726125,47.89646553,99.60676765,1
59,2000-03-27 00:00:00,4958.560059,4994.419922,5022.22998,4946.609863,4958.560059,1380380000,4835.251395,4785.33999,4502.970605,0.0,0.0,0.0,-35.859863,75.620117,-0.090060442,-0.090060431,-0.00090101,0,0,106.4870051,112.053325,-5.566319838,0,0,0,60.00899442,0,24003470000.0,12389690092.0,1,4819.637792,0,-41.39146511,0,57.53936855,45.93414371,0,0,4935.231332,120132000000.0,5098.731619,4820.666178,4542.600738,4957.560059,27.98575408,39.08071352,72.40579284,-1
60,2000-03-28 00:00:00,4833.890137,4939.049805,4952.930176,4833.890137,4833.890137,1490090000,4840.360003,4798.066016,4518.363008,0.0,0.0,0.0,-105.159668,119.040039,-2.514236399,-2.514236402,-0.025463833,0,0,98.27064603,109.2967892,-11.02614315,0,0,0,54.15265837,0,22513380000.0,12581697342.0,1,4828.178013,0,-71.05501929,0,49.0751875,52.23787941,0,0,4884.560734,116469000000.0,5088.844249,4832.858561,4576.872873,4832.890137,-21.724075,14.07964678,13.16502405,-1
61,2000-03-29 00:00:00,4644.669922,4860.02002,4860.02002,4641.009766,4644.669922,1738270000,4845.312849,4804.270996,4528.640205,0.0,0.0,0.0,-215.350098,219.010254,-3.914450049,-3.914450052,-0.039931246,0,0,75.61894417,102.5612202,-26.94227601,0,0,0,46.70287294,0,20775110000.0,12734950530.0,1,4811.047739,0,-116.0774594,1,23.82535206,43.47996937,0,0,4764.615328,108096000000.0,5092.522688,4830.381417,4568.240147,4643.669922,-42.57508227,-12.10446773,-71.44828823,-1
62,2000-03-30 00:00:00,4457.890137,4540.439941,4683.879883,4355.689941,4457.890137,1925860000,4809.057129,4778.320996,4534.772207,0.0,0.0,0.0,-82.549804,328.189942,-4.021379093,-4.021379089,-0.041044718,0,0,42.11031804,90.47103975,-48.36072172,0,0,0,40.74435258,0,18849250000.0,12847766190.0,1,4754.120316,1,-157.2154938,1,-14.7826575,19.37262735,1,1,4611.252732,97988295169.0,5121.072577,4814.848563,4508.624549,4456.890137,-35.46820535,-33.25578754,-166.0060513,-1
63,2000-03-31 00:00:00,4572.830078,4550.209961,4606.47998,4381.379883,4572.830078,2118100000,4767.354283,4755.791016,4542.438613,0.0,0.0,0.0,22.620117,225.100097,2.578348454,2.578348444,0.025456696,1,1,24.54622944,77.28607769,-52.73984825,0,0,0,45.36390859,0,20967350000.0,12995589522.0,1,4724.649489,0,-107.1234833,1,-26.80547883,-5.92092809,1,1,4592.041405,96768415227.0,5128.589814,4806.197149,4483.804484,4571.830078,3.321552214,-24.90724513,-143.5129411,1
64,2000-04-03 00:00:00,4223.680176,4494.890137,4572.839844,4193.100098,4223.680176,1739920000,4664.935756,4717.159033,4542.204219,0.0,0.0,0.0,-271.209961,379.739746,-7.635313283,-7.635313275,-0.079425459,0,0,-17.34695162,58.35947183,-75.70642344,-1,0,0,36.14559455,0,19227430000.0,13107563530.0,1,4571.173909,1,-169.001157,1,-44.44671138,-28.67828257,1,1,4407.860791,85583096368.0,5175.769595,4773.287156,4370.804717,4222.680176,-25.35757899,-19.16807737,-177.2725771,-1
