,Date,AdjClose,Open,High,Low,Close,Volume,avg7,avg10,avg50,avg100,avg200,avg253,SPD_OPEN/CLOSE,SPD_HIGH/LOW,Adj_Close_Returns,Close_Returns,Log_Returns,pos_string,count_pos_string,macd,signal,hist,MACD_1DAY_strategy,MACD_9DAY_strategy,MACD_CONVERGENCE_strategy,RSI,RSI_strategy,OBV,OBV_EMA,OBV_strategy,TSF,TSF_strategy,WILLR,WILLR_strategy,STOCH_K,STOCH_D,STOCH_K_strategy,STOCH_D_strategy,EMA,TEMA,upperband,middleband,lowerband,MOM,stok,stod,ROC,CCI,direction
55,2000-03-21 00:00:00,65.07038116,107.851341,109.643883,107.014816,108.508606,7083094,62.9460422,62.37938461,64.58425812,0.0,0.0,0.0,0.657265,2.629067,0.66526685,0.665189198,0.006630637,1,4,-0.178036163,-0.865863307,0.687827144,0,0,0,57.67223525,0,-7645523,-12565174.93,1,64.47224594,0,-12.83782959,-1,84.09606401,71.84377066,-1,0,64.33042236,254003.0099,65.3694625,61.45304907,57.53663564,64.07038116,59.15179952,58.37314202,5.09265791,184.0865579,1
56,2000-03-22 00:00:00,65.50033569,109.46463,110.301147,108.867111,109.225624,6420139,63.4835216,62.83803368,64.54268326,0.0,0.0,0.0,-0.239006,1.434036,0.660753051,0.66079367,0.006585796,1,5,0.064400248,-0.679810596,0.744210844,1,0,0,58.77727541,0,-1225384,-12337183.32,1,65.13218207,0,-13.2352563,-1,88.68431409,83.0568945,-1,-1,64.91537902,261106.5517,65.72726537,61.54177511,57.35628486,64.50033569,44.10573016,56.68929476,10.85511121,176.1917731,1
57,2000-03-23 00:00:00,66.07363892,110.77916,110.77916,106.716064,110.181641,6791050,64.02611923,63.25368233,64.50112061,0.0,0.0,0.0,-0.597519,4.063096,0.87526761,0.87526806,0.008714593,1,6,0.299342989,-0.483979879,0.783322868,0,0,0,60.26681697,0,5565666,-11982603.38,1,66.23705967,0,-6.944495776,-1,88.99413945,87.25817252,-1,-1,65.49450897,268268.5987,66.3214853,61.71922684,57.11696837,65.07363892,57.36837483,53.54196817,11.89320873,169.2183019,1
58,2000-03-24 00:00:00,69.155159,110.301147,116.873802,110.002388,115.320267,12683378,65.14202281,64.1351429,64.51546066,0.0,0.0,0.0,5.01912,6.871414,4.663766263,4.663776972,0.0455828,1,7,0.725822887,-0.242019326,0.967842213,0,0,0,67.13988067,0,18249044,-11392592.21,1,67.58763638,0,-10.5690907,-1,89.75038574,89.14294643,-1,-1,67.32483398,291762.8572,67.55445298,61.99564343,56.43683389,68.155159,70.58827713,57.35412738,13.5294594,240.9150686,1
59,2000-03-27 00:00:00,72.73828888,119.502869,122.60994,119.144356,121.29541,12408593,66.60599245,65.2351738,64.61578079,0.0,0.0,0.0,1.792541,3.465584,5.181290788,5.181346831,0.050515254,1,8,1.337521796,0.073888899,1.263632898,0,1,0,72.99043297,-1,30657637,-10583687.99,1,69.62373193,0,-6.432741097,-1,92.01789081,90.25413867,-1,-1,70.03156143,328960.9982,69.70946899,62.51093565,55.31240231,71.73828888,63.62784163,63.86149786,17.47679933,258.6008953,1
60,2000-03-28 00:00:00,70.23010254,120.219887,121.414917,116.69455,117.112808,8524482,67.62975093,66.0306385,64.65018829,0.0,0.0,0.0,-3.107079,4.720367,-3.448233907,-3.448277227,-0.035090885,0,0,1.601447424,0.379400604,1.22204682,0,0,0,64.35310928,0,22133155,-9963175.994,1,70.81956029,0,-28.39507034,0,84.86769929,88.87865861,-1,-1,70.13083199,330382.2187,70.80712291,63.00234204,55.19756117,69.23010254,24.99999685,53.07203854,16.3895568,179.5518133,-1
61,2000-03-29 00:00:00,68.22351837,116.933556,117.053062,113.288719,113.766731,7648666,68.14163208,66.71860695,64.68884842,0.0,0.0,0.0,-3.166825,3.764343,-2.857156824,-2.8571401,-0.028987681,0,0,1.629907256,0.629501934,1.000405322,0,0,0,58.39919742,0,14484489,-9505896.134,1,71.31135521,0,-46.24999732,0,72.97406375,83.28655128,0,-1,69.17717518,316897.1834,71.32795953,63.44597081,55.56398209,67.22351837,-8.056855526,26.85699432,10.5049412,107.9721607,-1
62,2000-03-30 00:00:00,70.37343597,113.647224,117.59082,113.467972,117.351814,9579268,68.89921134,67.50690041,64.72755402,0.0,0.0,0.0,3.70459,4.122848,3.151285149,3.151257814,0.031026512,1,1,1.805133803,0.864628308,0.940505495,0,0,0,62.41186148,0,24063757,-8886498.507,1,71.93230589,0,-27.50000745,0,65.95164163,74.59780156,0,0,69.77530558,325311.1291,71.99522676,64.06022953,56.1252323,69.37343597,18.26922406,11.73745513,13.00348659,111.7115503,1
63,2000-03-31 00:00:00,67.86519623,117.232315,118.307838,111.914436,113.169212,8383899,69.23704856,67.98704071,64.72182251,0.0,0.0,0.0,-4.063103,6.393402,-3.564185422,-3.564156239,-0.036292533,0,0,1.721760732,1.036054793,0.685705939,0,0,0,55.66578385,0,15679858,-8439248.9,1,71.75156365,1,-49.37502265,0,58.95832419,65.96134319,0,0,68.8202509,311946.1059,72.24727857,64.47655887,56.70583916,66.86519623,-7.075507545,1.045620331,10.63083588,88.49388791,-1
64,2000-04-03 00:00:00,69.94343567,114.722755,116.993309,114.18499,116.634796,8070518,69.78987667,68.51734924,64.72902054,0.0,0.0,0.0,1.912041,2.808319,3.062305212,3.062302846,0.030163524,1,1,1.802604228,1.18936468,0.613239548,0,0,0,59.56561874,0,23750376,-7860864.177,1,72.05710916,0,-31.25001275,0,63.95831905,62.95609496,0,0,69.38184329,319759.7298,72.87404524,64.85876283,56.84348043,68.94343567,53.50464041,21.56611898,11.92650739,81.58951951,1
